分类名称,自然表达,金额,币种,备注
餐饮美食,今早买包子豆浆当早餐花了8元,8,CNY,早餐
餐饮美食,中午点黄焖鸡米饭外卖花了28块,28,CNY,外卖午餐
餐饮美食,晚上和朋友吃火锅AA付了180HKD,180,HKD,聚餐AA
餐饮美食,下午摸鱼买了杯珍珠奶茶花了22元,22,CNY,奶茶
餐饮美食,公司楼下便利店买冰美式花了30HKD,30,HKD,咖啡
餐饮美食,周末去茶餐厅吃早茶花了128块,128,CNY,早茶
餐饮美食,超市买了一箱纯牛奶花了65元,65,CNY,牛奶
餐饮美食,夜宵吃烧烤喝啤酒花了150块钱,150,CNY,夜宵
餐饮美食,买了杯星巴克拿铁花了38HKD,38,HKD,咖啡
餐饮美食,公司食堂吃午饭刷了15元,15,CNY,食堂
餐饮美食,水果店买了一斤草莓花了35块,35,CNY,水果
餐饮美食,面包店买吐司和可颂花了42元,42,CNY,面包
餐饮美食,麦当劳吃板烧鸡腿堡套餐花了36块,36,CNY,快餐
餐饮美食,寿司店吃三文鱼刺身饭花了78HKD,78,HKD,日料
餐饮美食,蜜雪冰城买柠檬水花了6元,6,CNY,饮品
餐饮美食,菜市场买菜晚上自己做饭花了90块,90,CNY,买菜做饭
餐饮美食,超市囤薯片饼干等零食花了120元,120,CNY,囤零食
餐饮美食,瑞幸买生椰拿铁花了19块,19,CNY,咖啡
餐饮美食,兰州拉面馆吃牛肉面加蛋花了22元,22,CNY,面食
餐饮美食,东北饺子馆吃晚餐花了45块,45,CNY,饺子
餐饮美食,港式茶餐厅下午茶冻柠茶加菠萝油花了58HKD,58,HKD,下午茶
餐饮美食,冰淇淋店买两个甜筒花了16元,16,CNY,甜品
餐饮美食,绝味鸭脖买鸭货花了32块,32,CNY,卤味
餐饮美食,水果店买切果盒花了28元,28,CNY,水果
餐饮美食,公司楼下买便当盒饭花了25块,25,CNY,盒饭
餐饮美食,外卖点了份意式披萨花了68元,68,CNY,披萨
餐饮美食,半夜饿了点串串香夜宵花了55块,55,CNY,夜宵
餐饮美食,粤式早茶点虾饺烧卖花了138元,138,CNY,早茶
餐饮美食,超市买原味酸奶一打花了36块,36,CNY,酸奶
餐饮美食,好利来买半熟芝士蛋糕花了49元,49,CNY,甜品
餐饮美食,肯德基买全家桶花了99块,99,CNY,快餐
餐饮美食,居酒屋吃日料小酌花了280HKD,280,HKD,日料
餐饮美食,丘大叔买鸭屎香柠檬茶花了18元,18,CNY,饮品
餐饮美食,早餐店吃肠粉加粥花了12块,12,CNY,早餐
餐饮美食,正宗兰州拉面吃大碗面花了20元,20,CNY,面食
餐饮美食,杨国福吃麻辣烫午餐花了35块,35,CNY,麻辣烫
餐饮美食,韩式烤肉店聚餐人均花了160元,160,CNY,聚餐
餐饮美食,夏天买半个西瓜花了28块,28,CNY,水果
餐饮美食,便利店买关东煮花了18元,18,CNY,便利店
餐饮美食,咖啡店买燕麦拿铁花了32块,32,CNY,咖啡
餐饮美食,粥铺点皮蛋瘦肉粥加油条花了15元,15,CNY,早餐
餐饮美食,汉堡王吃皇堡套餐花了41块,41,CNY,快餐
餐饮美食,泰式餐厅吃冬阴功汤饭花了68元,68,CNY,泰餐
餐饮美食,甜品店买双皮奶和姜撞奶花了30块,30,CNY,甜品
餐饮美食,超市买泡面和火腿肠花了25元,25,CNY,囤货
餐饮美食,外卖点麻辣小龙虾花了188块,188,CNY,小龙虾
餐饮美食,茶餐厅冻柠茶走冰花了24HKD,24,HKD,饮品
餐饮美食,包子铺买一笼小笼包花了16元,16,CNY,早餐
餐饮美食,西餐厅吃牛排套餐花了268块,268,CNY,西餐
餐饮美食,自助餐厅吃午餐花了128元,128,CNY,自助餐
交通出行,今天坐地铁上下班花了8HKD,8,HKD,地铁
交通出行,打车去公司付了45块钱,45,CNY,打车
交通出行,给车加92号油花了300元,300,CNY,加油
交通出行,公交卡充值100元,100,CNY,公交卡
交通出行,打滴滴去商圈花了38块,38,CNY,网约车
交通出行,买高铁二等座票花了550元,550,CNY,高铁
交通出行,小区停车场交停车费20HKD,20,HKD,停车
交通出行,骑共享单车通勤花了3块钱,3,CNY,共享单车
交通出行,机场大巴车票花了25元,25,CNY,机场大巴
交通出行,高速过路费花了120块,120,CNY,过路费
交通出行,坐公交去市区花了2元,2,CNY,公交
交通出行,网约车去机场花了120块,120,CNY,网约车
交通出行,电动车充电花了15元,15,CNY,充电
交通出行,买动车票花了180块,180,CNY,动车
交通出行,出租车打表花了56元,56,CNY,出租车
交通出行,摩托车加油花了80块,80,CNY,加油
交通出行,坐轮渡去对岸花了15HKD,15,HKD,轮渡
交通出行,代驾回家花了80元,80,CNY,代驾
交通出行,租车一天花了300块,300,CNY,租车
交通出行,地铁月卡充值200元,200,CNY,地铁卡
交通出行,顺风车去邻市花了120块,120,CNY,顺风车
交通出行,买飞机票经济舱花了1200元,1200,CNY,机票
交通出行,停车场包月费300元,300,CNY,停车月费
交通出行,坐大巴回老家花了150块,150,CNY,大巴
交通出行,骑共享电动车花了5元,5,CNY,共享电动车
交通出行,滴滴打快车花了28块,28,CNY,网约车
交通出行,给车做保养花了500元,500,CNY,保养
交通出行,买船票去海岛玩花了180块,180,CNY,船票
交通出行,公交转地铁一共花了6元,6,CNY,公交换乘
交通出行,打车去高铁站花了60块,60,CNY,打车
交通出行,ETC扣费85元,85,CNY,ETC
交通出行,坐轻轨去郊区花了20块,20,CNY,轻轨
交通出行,网约车拼车花了18元,18,CNY,拼车
交通出行,自行车补胎花了15块,15,CNY,修车
交通出行,买火车票卧铺花了320元,320,CNY,火车票
交通出行,小区停车费一天10元,10,CNY,停车
交通出行,坐叮叮车花了3HKD,3,HKD,叮叮车
交通出行,打车去医院花了35块,35,CNY,打车
交通出行,汽车年检花了280元,280,CNY,年检
交通出行,坐长途客车花了220块,220,CNY,长途车
交通出行,共享汽车用了两小时花了60元,60,CNY,共享汽车
交通出行,地铁充值50元,50,CNY,地铁充值
交通出行,打车去酒吧花了45块,45,CNY,打车
交通出行,给车换轮胎花了800元,800,CNY,换轮胎
交通出行,坐港铁去尖沙咀花了22HKD,22,HKD,港铁
交通出行,顺风车拼单花了25元,25,CNY,拼车
交通出行,过收费站交了50块,50,CNY,过路费
交通出行,买机票燃油附加费150元,150,CNY,机票附加
交通出行,电动车上牌花了100块,100,CNY,上牌
交通出行,坐巴士去深圳湾花了45HKD,45,HKD,巴士
商超购物,永辉超市买菜花了90元,90,CNY,超市买菜
商超购物,便利店囤零食花了75块,75,CNY,囤零食
商超购物,逛百货商场买东西花了500HKD,500,HKD,商场购物
商超购物,进口超市买牛排花了220元,220,CNY,进口超市
商超购物,楼下超市买烟花了45块,45,CNY,买烟
商超购物,山姆会员店囤货花了680元,680,CNY,会员店
商超购物,超市买洗衣液花了69块,69,CNY,日化
商超购物,海外超市买伴手礼花了120USD,120,USD,伴手礼
商超购物,菜市场买食材花了150块,150,CNY,菜市场
商超购物,沃尔玛买日用品花了180元,180,CNY,日用品
商超购物,711买水和纸巾花了12HKD,12,HKD,便利店
商超购物,大润发买米面粮油花了260块,260,CNY,粮油
商超购物,便利店买早餐花了15元,15,CNY,便利店
商超购物,免税店买化妆品花了800HKD,800,HKD,免税店
商超购物,生鲜超市买海鲜花了350块,350,CNY,海鲜
商超购物,超市买卫生纸花了89元,89,CNY,纸品
商超购物,全家买便当和饮料花了32块,32,CNY,便利店
商超购物,百佳超市买水果花了128HKD,128,HKD,水果
商超购物,小卖部买饮料花了8元,8,CNY,小卖部
商超购物,仓储超市买纸巾洗衣液花了199块,199,CNY,囤货
商超购物,超市买牛奶面包花了56元,56,CNY,牛奶面包
商超购物,OK便利店买咖啡花了18HKD,18,HKD,便利店
商超购物,菜市场买肉和菜花了120块,120,CNY,买菜
商超购物,进口超市买巧克力花了88元,88,CNY,进口超市
商超购物,超市搞促销囤货花了300块,300,CNY,促销囤货
商超购物,便利店买雨伞花了25元,25,CNY,便利店
商超购物,惠康超市买零食花了98HKD,98,HKD,零食
商超购物,超市买洗洁精和垃圾袋花了35元,35,CNY,日用品
商超购物,生鲜店买排骨花了78块,78,CNY,生鲜
商超购物,超市买牙膏牙刷花了42元,42,CNY,日用品
商超购物,便利店买冰棍花了10块,10,CNY,便利店
商超购物,城市超市买进口水果花了168元,168,CNY,进口水果
商超购物,超市买拖鞋花了29块,29,CNY,日用品
商超购物,便利店买充电宝花了99元,99,CNY,便利店
商超购物,菜市场买海鲜花了280块,280,CNY,海鲜
商超购物,超市买洗发水沐浴露花了118元,118,CNY,洗护
商超购物,便利店买口罩花了15块,15,CNY,便利店
商超购物,精品超市买牛排花了198元,198,CNY,进口超市
商超购物,超市买酱油醋调料花了45块,45,CNY,调料
商超购物,便利店买口香糖花了10元,10,CNY,便利店
商超购物,超市买坚果礼盒花了128块,128,CNY,坚果
商超购物,超市买卫生巾花了56元,56,CNY,日用品
商超购物,便利店买矿泉水花了5块,5,CNY,便利店
商超购物,超市买速冻饺子花了38元,38,CNY,速冻食品
商超购物,菜市场买水果花了60块,60,CNY,水果
商超购物,超市买洗衣液补充装花了49元,49,CNY,日化
商超购物,便利店买面包花了12块,12,CNY,便利店
商超购物,超市买床上四件套花了299元,299,CNY,家纺
商超购物,超市买锅碗瓢盆花了150块,150,CNY,厨具
商超购物,超市买零食大礼包花了88元,88,CNY,零食
日用百货,买垃圾袋洗洁精花了35元,35,CNY,清洁用品
日用百货,囤卫生纸花了89块钱,89,CNY,纸品
日用百货,买洗漱用品花了120HKD,120,HKD,洗漱用品
日用百货,买厨房清洁用品花了56元,56,CNY,清洁用品
日用百货,买一次性口罩花了45块,45,CNY,口罩
日用百货,买雨伞拖鞋花了78元,78,CNY,日常用品
日用百货,买收纳盒花了99HKD,99,HKD,收纳
日用百货,买洗衣液柔顺剂花了109元,109,CNY,日化
日用百货,买驱蚊用品花了32USD,32,USD,驱蚊
日用百货,买保鲜膜锡纸花了28块,28,CNY,厨房用品
日用百货,买牙膏牙刷套装花了42元,42,CNY,洗漱
日用百货,买拖把扫帚花了65块,65,CNY,清洁工具
日用百货,买垃圾桶花了25元,25,CNY,日用品
日用百货,买衣架裤架花了38块,38,CNY,收纳
日用百货,买洗碗布钢丝球花了12元,12,CNY,清洁
日用百货,买纸巾抽纸整箱花了99块,99,CNY,纸品
日用百货,买洁厕灵花了18元,18,CNY,清洁
日用百货,买一次性手套花了15块,15,CNY,日用品
日用百货,买厨房抹布花了20元,20,CNY,清洁
日用百货,买真空收纳袋花了56块,56,CNY,收纳
日用百货,买插排插座花了49元,49,CNY,电器配件
日用百货,买电池五号七号花了25块,25,CNY,电池
日用百货,买灯泡LED花了30元,30,CNY,灯具
日用百货,买粘毛器花了19块,19,CNY,日用品
日用百货,买鞋刷鞋油花了22元,22,CNY,日用品
日用百货,买针线盒花了15块,15,CNY,日用品
日用百货,买马桶垫花了18元,18,CNY,日用品
日用百货,买樟脑丸花了10块,10,CNY,日用品
日用百货,买雨衣雨鞋花了68元,68,CNY,雨具
日用百货,买保温壶花了89块,89,CNY,水具
日用百货,买菜板菜刀花了128元,128,CNY,厨具
日用百货,买碗碟套装花了199块,199,CNY,餐具
日用百货,买调味罐花了35元,35,CNY,厨房用品
日用百货,买水果盘花了28块,28,CNY,餐具
日用百货,买漱口杯花了15元,15,CNY,洗漱
日用百货,买毛巾浴巾花了79块,79,CNY,毛巾
日用百货,买洗脸巾花了45元,45,CNY,洗漱
日用百货,买棉签牙线花了18块,18,CNY,洗漱
日用百货,买洗手液花了25元,25,CNY,清洁
日用百货,买身体乳花了68块,68,CNY,洗护
日用百货,买香皂肥皂花了12元,12,CNY,洗护
日用百货,买垃圾桶垃圾袋套装花了39块,39,CNY,清洁
日用百货,买百洁布花了8元,8,CNY,清洁
日用百货,买一次性餐盒花了22块,22,CNY,厨房用品
日用百货,买空气清新剂花了19元,19,CNY,日用品
日用百货,买除湿袋花了25块,25,CNY,日用品
日用百货,买密封罐花了48元,48,CNY,厨房用品
日用百货,买削皮刀水果刀花了28块,28,CNY,厨具
日用百货,买锅铲汤勺花了35元,35,CNY,厨具
日用百货,买清洁海绵花了10块,10,CNY,清洁
房屋租金,这个月交房租3500元,3500,CNY,月租
房屋租金,季度付房租花了12000块,12000,CNY,季付
房屋租金,香港租房月租8000HKD,8000,HKD,香港月租
房屋租金,单间房租每月2200元,2200,CNY,单间
房屋租金,公寓租金交了4500块,4500,CNY,公寓
房屋租金,商铺月租金12000元,12000,CNY,商铺
房屋租金,次卧转租收到1800HKD,1800,HKD,转租收入
房屋租金,年付房租优惠后36000元,36000,CNY,年付
房屋租金,海外租房月付1200USD,1200,USD,海外租房
房屋租金,loft公寓租金5500块,5500,CNY,loft
房屋租金,一室一厅月租3000元,3000,CNY,一室一厅
房屋租金,两居室房租每月4800块,4800,CNY,两居
房屋租金,旺角租房月租9500HKD,9500,HKD,旺角
房屋租金,城中村房租每月1500元,1500,CNY,城中村
房屋租金,写字楼租金每月8000块,8000,CNY,写字楼
房屋租金,小区三居室月租6500元,6500,CNY,三居
房屋租金,学生宿舍床位费每月800块,800,CNY,宿舍
房屋租金,中环公寓月租15000HKD,15000,HKD,中环
房屋租金,厂房租金每月20000元,20000,CNY,厂房
房屋租金,单身公寓月租2800块,2800,CNY,单身公寓
房屋租金,房租押金交了7000元,7000,CNY,押金
房屋租金,半年付房租21000块,21000,CNY,半年付
房屋租金,唐楼月租6500HKD,6500,HKD,唐楼
房屋租金,主卧带独卫月租3200元,3200,CNY,主卧
房屋租金,门面房租金每月10000块,10000,CNY,门面
房屋租金,海景房月租12000元,12000,CNY,海景房
房屋租金,公租房每月租金800块,800,CNY,公租房
房屋租金,铜锣湾商铺月租30000HKD,30000,HKD,商铺
房屋租金,人才公寓月租1800元,1800,CNY,人才公寓
房屋租金,合租房分摊房租1500块,1500,CNY,合租
房屋租金,别墅月租25000元,25000,CNY,别墅
房屋租金,仓库租金每月5000块,5000,CNY,仓库
房屋租金,太子公寓月租7500HKD,7500,HKD,太子
房屋租金,精装两居月租5500元,5500,CNY,精装
房屋租金,简装一居月租1800块,1800,CNY,简装
房屋租金,办公室租金每月15000元,15000,CNY,办公室
房屋租金,员工宿舍房租每月3000块,3000,CNY,员工宿舍
房屋租金,油麻地租房月租5800HKD,5800,HKD,油麻地
房屋租金,学区房月租7000元,7000,CNY,学区房
房屋租金,底商租金每月18000块,18000,CNY,底商
房屋租金,复式公寓月租8000元,8000,CNY,复式
房屋租金,农民房月租1200块,1200,CNY,农民房
房屋租金,尖沙咀酒店式公寓月租20000HKD,20000,HKD,酒店式公寓
房屋租金,老小区两居月租2500元,2500,CNY,老小区
房屋租金,新小区三居月租6000块,6000,CNY,新小区
房屋租金,工作室租金每月4000元,4000,CNY,工作室
房屋租金,车位租金每月300块,300,CNY,车位
房屋租金,北角租房月租9000HKD,9000,HKD,北角
房屋租金,回迁房月租2000元,2000,CNY,回迁房
房屋租金,公寓式酒店月租4500块,4500,CNY,公寓酒店
物业费用,这个月物业费280元,280,CNY,月物业费
物业费用,季度物业费花了840块,840,CNY,季物业费
物业费用,小区物业费每月3.5元每平合计320HKD,320,HKD,按平米计
物业费用,写字楼物业费交了1500元,1500,CNY,写字楼
物业费用,物业公摊费交了50块,50,CNY,公摊
物业费用,全年物业费优惠后2800元,2800,CNY,年物业费
物业费用,公寓管理费每月150HKD,150,HKD,管理费
物业费用,垃圾清运费交了80元,80,CNY,垃圾清运
物业费用,海外公寓物业费180USD,180,USD,海外物业
物业费用,园区物业费交了450块,450,CNY,园区
物业费用,高层住宅物业费每月350元,350,CNY,高层
物业费用,别墅物业费每月800块,800,CNY,别墅
物业费用,商业楼物业费每平10元合计1200HKD,1200,HKD,商业物业
物业费用,小区停车管理费每月100元,100,CNY,停车管理
物业费用,物业维修费花了200块,200,CNY,维修
物业费用,半年物业费1500元,1500,CNY,半年物业
物业费用,酒店式公寓管理费每月300HKD,300,HKD,管理费
物业费用,装修垃圾清运费500元,500,CNY,装修清运
物业费用,物业费滞纳金20块,20,CNY,滞纳金
物业费用,工业园物业费每月2000元,2000,CNY,工业园
物业费用,小区绿化费分摊50元,50,CNY,绿化费
物业费用,电梯维护费每月80块,80,CNY,电梯维护
物业费用,香港屋苑管理费每月400HKD,400,HKD,屋苑管理
物业费用,商住楼物业费每月600元,600,CNY,商住楼
物业费用,安保费分摊每月30块,30,CNY,安保费
物业费用,全年物业费3360元,3360,CNY,年物业费
物业费用,公共区域能耗费每月50HKD,50,HKD,公共能耗
物业费用,门禁系统维护费80元,80,CNY,门禁维护
物业费用,泳池维护费分摊100块,100,CNY,泳池维护
物业费用,写字楼空调费每月500元,500,CNY,空调费
物业费用,小区公共水电费每月60块,60,CNY,公共水电
物业费用,公屋管理费每月80HKD,80,HKD,公屋
物业费用,商铺物业费每月200元,200,CNY,商铺物业
物业费用,物业费预交一年3000块,3000,CNY,预交物业
物业费用,多层住宅物业费每月180元,180,CNY,多层
物业费用,商务中心物业费每月800块,800,CNY,商务中心
物业费用,居屋管理费每月250HKD,250,HKD,居屋
物业费用,小区改造费分摊500元,500,CNY,改造费
物业费用,车位管理费每月50块,50,CNY,车位管理
物业费用,公寓物业费每月220元,220,CNY,公寓物业
物业费用,商场物业费每月1500块,1500,CNY,商场物业
物业费用,豪宅物业费每月1200HKD,1200,HKD,豪宅物业
物业费用,普通住宅物业费每月200元,200,CNY,普通住宅
物业费用,物业费涨价后每月320块,320,CNY,涨价后
物业费用,产业园物业费每月1000元,1000,CNY,产业园
物业费用,卫生费每月15块,15,CNY,卫生费
物业费用,丁屋管理费每月180HKD,180,HKD,丁屋
物业费用,商住两用物业费每月450元,450,CNY,商住两用
物业费用,物业代收排污费30块,30,CNY,排污费
物业费用,小区物业费年付打九折2900元,2900,CNY,年付折扣
水电燃气,这个月电费180元,180,CNY,电费
水电燃气,水费花了45块钱,45,CNY,水费
水电燃气,燃气费充值200HKD,200,HKD,燃气费
水电燃气,水电费合计交了260元,260,CNY,水电合计
水电燃气,夏天开空调电费320块,320,CNY,夏天空调
水电燃气,燃气热水器用气花了85元,85,CNY,燃气
水电燃气,商用电费交了560HKD,560,HKD,商业用电
水电燃气,桶装水订了10桶花了120元,120,CNY,桶装水
水电燃气,海外公寓水电费150USD,150,USD,海外水电
水电燃气,暖气费交了2400块,2400,CNY,暖气费
水电燃气,电费充值200元,200,CNY,电费充值
水电燃气,污水处理费每月15块,15,CNY,污水费
水电燃气,煤气罐换气花了120HKD,120,HKD,换煤气
水电燃气,阶梯电费第二档花了210元,210,CNY,阶梯电费
水电燃气,水费加污水处理费一共60块,60,CNY,水费合计
水电燃气,天然气开户费300元,300,CNY,开户费
水电燃气,桶装水押金50块,50,CNY,押金
水电燃气,香港电费每月400HKD,400,HKD,香港电费
水电燃气,商业用电电费800元,800,CNY,商业用电
水电燃气,燃气报警器安装费150块,150,CNY,报警器
水电燃气,插卡电表充值300元,300,CNY,电表充值
水电燃气,自来水开户费200块,200,CNY,开户费
水电燃气,瓶装水配送每月80HKD,80,HKD,瓶装水
水电燃气,峰谷电费合计250元,250,CNY,峰谷电价
水电燃气,燃气灶具维修费80块,80,CNY,维修
水电燃气,水电费代缴手续费5元,5,CNY,代缴费
水电燃气,工业用电电费1500块,1500,CNY,工业用电
水电燃气,香港水费每月80HKD,80,HKD,香港水费
水电燃气,家里电费欠费补交220元,220,CNY,欠费补交
水电燃气,燃气胶管更换花了30块,30,CNY,胶管更换
水电燃气,饮水机换水花了25元,25,CNY,换水
水电燃气,电费违约金10块,10,CNY,违约金
水电燃气,管道燃气初装费2500元,2500,CNY,初装费
水电燃气,水电过户费50块,50,CNY,过户费
水电燃气,香港燃气费每月300HKD,300,HKD,香港燃气
水电燃气,出租屋水电费每月200元,200,CNY,出租屋
水电燃气,电热水器清洗费80块,80,CNY,清洗
水电燃气,水表更换花了150元,150,CNY,换水表
水电燃气,电表校准费50块,50,CNY,电表校准
水电燃气,商业水费每吨5元合计120元,120,CNY,商业水费
水电燃气,燃气保险费20元每年,20,CNY,燃气保险
水电燃气,桶装水买十送二花了200块,200,CNY,桶装水
水电燃气,香港电费补贴后每月350HKD,350,HKD,补贴后
水电燃气,民用电费每度0.5元合计180元,180,CNY,民用电
水电燃气,燃气表更换花了280块,280,CNY,换燃气表
水电燃气,楼道灯公摊电费每月10元,10,CNY,公摊电费
水电燃气,二次供水费每月20块,20,CNY,二次供水
水电燃气,大功率用电增容费500元,500,CNY,增容费
水电燃气,水电维修上门费60块,60,CNY,上门费
水电燃气,瓶装液化气一罐130元,130,CNY,液化气
通讯话费,手机话费充值100元,100,CNY,话费充值
通讯话费,交电话费花了58块,58,CNY,话费
通讯话费,香港电话卡充值200HKD,200,HKD,电话卡充值
通讯话费,流量包续费花了30元,30,CNY,流量包
通讯话费,国际长途话费花了120块,120,CNY,国际长途
通讯话费,手机号套餐扣费99元,99,CNY,套餐扣费
通讯话费,电话卡月费68HKD,68,HKD,月费
通讯话费,漫游话费扣了45元,45,CNY,漫游
通讯话费,海外电话卡充值50USD,50,USD,海外电话卡
通讯话费,宽带绑定话费扣了129块,129,CNY,宽带绑定
通讯话费,手机号停机保号费每月5元,5,CNY,保号费
通讯话费,话费余额不足充值200块,200,CNY,充值
通讯话费,香港上台套餐每月128HKD,128,HKD,上台套餐
通讯话费,短信包10元100条,10,CNY,短信包
通讯话费,来电显示费每月6块,6,CNY,来电显示
通讯话费,异地通话费25元,25,CNY,异地通话
通讯话费,手机卡补办费20元,20,CNY,补卡
通讯话费,香港储值卡充值100HKD,100,HKD,储值卡
通讯话费,集团短号费每月10元,10,CNY,短号费
通讯话费,话费欠费补交80块,80,CNY,欠费补交
通讯话费,增值业务费15元每月,15,CNY,增值业务
通讯话费,国际漫游包天30元,30,CNY,国际漫游
通讯话费,和记电讯月费98HKD,98,HKD,月费
通讯话费,亲情号业务费每月5元,5,CNY,亲情号
通讯话费,话费发票打印费2块,2,CNY,打印费
通讯话费,4G升级5G套餐费129元每月,129,CNY,升级套餐
通讯话费,香港手机号过户费50HKD,50,HKD,过户费
通讯话费,彩铃业务费每月8元,8,CNY,彩铃
通讯话费,通话时长超出扣费30块,30,CNY,超时扣费
通讯话费,手机副卡费每月10元,10,CNY,副卡
通讯话费,香港漫游到内地每日28HKD,28,HKD,漫游
通讯话费,话费积分兑换抵扣50元,50,CNY,积分抵扣
通讯话费,骚扰电话拦截费每月3元,3,CNY,拦截费
通讯话费,号码靓号预存500元,500,CNY,靓号预存
通讯话费,香港电话卡上台押金200HKD,200,HKD,上台押金
通讯话费,夜间通话包每月10元,10,CNY,夜间包
通讯话费,国内通话套餐68元每月,68,CNY,通话套餐
通讯话费,香港本地通话无限量套餐88HKD,88,HKD,无限量
通讯话费,话费查询余额剩52元,52,CNY,查余额
通讯话费,多收话费退还30块,30,CNY,退费
通讯话费,手机卡注销结清话费45元,45,CNY,注销结清
通讯话费,香港一卡两号月费50HKD,50,HKD,一卡两号
通讯话费,定向流量包19元每月,19,CNY,定向流量
通讯话费,通用流量包50元20G,50,CNY,通用流量
通讯话费,香港数据套餐每日20HKD,20,HKD,数据套餐
通讯话费,话费自动扣款99元,99,CNY,自动扣款
通讯话费,异地补卡费30块,30,CNY,异地补卡
通讯话费,香港电话卡充值优惠充200送50HKD,200,HKD,充值优惠
宽带网络,宽带年费交了600元,600,CNY,年费
宽带网络,月网费扣了50块,50,CNY,月费
宽带网络,香港光纤宽带月费128HKD,128,HKD,光纤月费
宽带网络,宽带升级提速花了200元,200,CNY,提速
宽带网络,安装宽带初装费100块,100,CNY,初装费
宽带网络,家庭千兆宽带年费960元,960,CNY,千兆年费
宽带网络,商业宽带月费380HKD,380,HKD,商业宽带
宽带网络,路由器租赁费每月20元,20,CNY,路由器租赁
宽带网络,海外网络费80USD,80,USD,海外网络
宽带网络,宽带续约优惠后500块,500,CNY,续约
宽带网络,宽带移机费80元,80,CNY,移机
宽带网络,光猫押金100块,100,CNY,光猫押金
宽带网络,香港1000M宽带月费198HKD,198,HKD,千兆月费
宽带网络,宽带测速不达标退费50元,50,CNY,退费
宽带网络,宽带安装人工费150块,150,CNY,安装费
宽带网络,校园宽带半年280元,280,CNY,校园宽带
宽带网络,香港住宅宽带月费99HKD,99,HKD,住宅宽带
宽带网络,宽带故障上门维修费50元,50,CNY,维修
宽带网络,宽带叠加IPTV每月30块,30,CNY,IPTV
宽带网络,企业宽带年费5000元,5000,CNY,企业宽带
宽带网络,宽带销户违约金80块,80,CNY,销户
宽带网络,香港商用宽带月费480HKD,480,HKD,商用宽带
宽带网络,无线宽带每月60元,60,CNY,无线宽带
宽带网络,宽带套餐含话费每月129块,129,CNY,含话费
宽带网络,光纤入户施工费200元,200,CNY,施工费
宽带网络,宽带猫更换花了150块,150,CNY,换猫
宽带网络,香港宽带续约优惠200HKD,200,HKD,续约优惠
宽带网络,小区宽带包月80元,80,CNY,小区宽带
